cut,color,clarity,item,price,carat,x,y,z,noData
Ideal,D,I1,min,413,0.34,4.47,4.5,2.8,13
Ideal,D,I1,max,13156,2.75,9.04,9,5.5,13
Ideal,D,I1,sd,3610,0.68,1.44,1.4,0.9,13
Ideal,D,IF,mean,6567,0.62,5.37,5.4,3.3,28
Ideal,D,IF,min,893,0.27,4.15,4.1,2.6,28
Ideal,D,IF,max,17590,1.07,6.66,6.7,4.1,28
Ideal,D,IF,sd,5703,0.27,0.78,0.8,0.5,28
Ideal,D,SI1,mean,2490,0.59,5.27,5.3,3.3,738
Ideal,D,SI1,min,452,0.25,4.09,4.1,2.5,738
Ideal,D,SI1,max,16575,1.71,7.76,7.8,4.8,738
Ideal,D,SI1,sd,2625,0.3,0.84,0.8,0.5,738
Ideal,D,SI2,mean,3142,0.75,5.69,5.7,3.5,356
Ideal,D,SI2,min,413,0.3,4.26,4.2,2.6,356
Ideal,D,SI2,max,18693,2.21,8.36,8.5,5.2,356
Ideal,D,SI2,sd,3023,0.39,0.95,1,0.6,356
Ideal,D,VS1,mean,2576,0.53,5.11,5.1,3.2,351
Ideal,D,VS1,min,452,0.24,3.92,4,2.5,351
Ideal,D,VS1,max,17659,1.52,7.4,7.5,4.6,351
Ideal,D,VS1,sd,2801,0.24,0.7,0.7,0.4,351
Ideal,D,VS2,mean,2112,0.5,5,5,3.1,920
Ideal,D,VS2,min,367,0.2,3.81,3.8,2.3,920
Ideal,D,VS2,max,18318,1.61,7.56,7.5,4.7,920
Ideal,D,VS2,sd,2518,0.24,0.69,0.7,0.4,920
Ideal,D,VVS1,mean,2706,0.46,4.88,4.9,3,144
Ideal,D,VVS1,min,586,0.27,4.12,4.1,2.6,144
Ideal,D,VVS1,max,16253,1.3,6.98,7,4.3,144
Ideal,D,VVS1,sd,3114,0.2,0.61,0.6,0.4,144
Ideal,D,VVS2,mean,3619,0.54,5.11,5.1,3.2,284
Ideal,D,VVS2,min,526,0.23,3.92,4,2.5,284
Ideal,D,VVS2,max,16130,1.32,7.16,7.2,4.3,284
Ideal,D,VVS2,sd,4255,0.29,0.84,0.8,0.5,284
Ideal,E,I1,mean,3559,1.04,6.35,6.3,3.9,18
Ideal,E,I1,min,490,0.3,4.39,4.4,2.6,18
Ideal,E,I1,max,9072,2.25,8.52,8.5,5.2,18
Ideal,E,I1,sd,2199,0.47,1.05,1.1,0.7,18
Ideal,E,IF,mean,3259,0.46,4.81,4.8,3,79
Ideal,E,IF,min,815,0.29,4.25,4.3,2.6,79
Ideal,E,IF,max,18700,1.3,7.09,7,4.4,79
Ideal,E,IF,sd,4944,0.29,0.83,0.8,0.5,79
Ideal,E,SI1,mean,2884,0.67,5.51,5.5,3.4,766
Ideal,E,SI1,min,486,0.24,4.01,4,2.5,766
Ideal,E,SI1,max,18193,2.05,8.17,8.1,5.1,766
Ideal,E,SI1,sd,2779,0.31,0.82,0.8,0.5,766
Ideal,E,SI2,mean,3891,0.87,6.02,6,3.7,469
Ideal,E,SI2,min,326,0.23,3.95,4,2.4,469
Ideal,E,SI2,max,18128,2.28,8.49,8.4,5.2,469
Ideal,E,SI2,sd,3166,0.38,0.9,0.9,0.6,469
Ideal,E,VS1,mean,2176,0.5,5.02,5.1,3.1,593
Ideal,E,VS1,min,452,0.23,3.94,4,2.4,593
Ideal,E,VS1,max,18729,1.58,7.44,31.8,5.1,593
Ideal,E,VS1,sd,2583,0.24,0.69,1.3,0.4,593
Ideal,E,VS2,mean,2163,0.52,5.07,5.1,3.1,1136
Ideal,E,VS2,min,367,0.2,3.76,3.7,2.3,1136
Ideal,E,VS2,max,17825,1.63,7.6,7.6,4.7,1136
Ideal,E,VS2,sd,2573,0.25,0.73,0.7,0.4,1136
Ideal,E,VVS1,mean,2206,0.43,4.75,4.8,2.9,335
Ideal,E,VVS1,min,576,0.24,3.99,4,2.4,335
Ideal,E,VVS1,max,16256,1.25,6.83,6.9,4.3,335
Ideal,E,VVS1,sd,3096,0.22,0.64,0.6,0.4,335
Ideal,E,VVS2,mean,2556,0.48,4.92,4.9,3,507
Ideal,E,VVS2,min,526,0.23,3.91,4,2.1,507
Ideal,E,VVS2,max,18188,1.55,7.38,7.4,4.6,507
Ideal,E,VVS2,sd,3318,0.26,0.77,0.8,0.5,507
Ideal,F,I1,mean,3903,1.11,6.58,6.6,4,42
Ideal,F,I1,min,497,0.38,4.61,4.6,2.9,42
Ideal,F,I1,max,10685,2.16,8.4,8.3,5.1,42
Ideal,F,I1,sd,2225,0.38,0.79,0.8,0.5,42
Ideal,F,IF,mean,2154,0.41,4.69,4.7,2.9,268
Ideal,F,IF,min,646,0.24,3.96,4,2.4,268
Ideal,F,IF,max,18435,1.33,7.12,7.2,4.3,268
Ideal,F,IF,sd,3197,0.22,0.67,0.7,0.4,268
Ideal,F,SI1,mean,3710,0.77,5.74,5.8,3.5,608
Ideal,F,SI1,min,430,0.25,4.06,4.1,1.1,608
Ideal,F,SI1,max,18306,1.93,8.1,8.1,4.8,608
Ideal,F,SI1,sd,3617,0.38,0.94,0.9,0.6,608
Ideal,F,SI2,mean,4336,0.93,6.12,6.1,3.8,453
Ideal,F,SI2,min,413,0.29,0,4.4,0,453
Ideal,F,SI2,max,18578,2.45,8.67,8.6,5.4,453
Ideal,F,SI2,sd,4103,0.43,0.95,0.9,0.6,453
Ideal,F,VS1,mean,3504,0.64,5.41,5.4,3.3,616
Ideal,F,VS1,min,419,0.23,3.94,3.9,2.4,616
Ideal,F,VS1,max,18780,1.73,7.73,7.6,4.8,616
Ideal,F,VS1,sd,3732,0.32,0.87,0.9,0.5,616
Ideal,F,VS2,mean,3317,0.63,5.34,5.3,3.3,879
Ideal,F,VS2,min,408,0.23,3.93,4,2.4,879
Ideal,F,VS2,max,18421,1.78,7.85,7.9,4.8,879
Ideal,F,VS2,sd,3942,0.37,0.98,1,0.6,879
Ideal,F,VVS1,mean,2611,0.48,4.9,4.9,3,440
Ideal,F,VVS1,min,505,0.23,3.9,3.9,2.5,440
Ideal,F,VVS1,max,18682,1.42,7.25,7.3,4.4,440
Ideal,F,VVS1,sd,3528,0.26,0.76,0.8,0.5,440
Ideal,F,VVS2,mean,3324,0.58,5.22,5.2,3.2,520
Ideal,F,VVS2,min,511,0.23,3.92,4,2.4,520
Ideal,F,VVS2,max,18614,1.51,7.36,7.4,4.6,520
Ideal,F,VVS2,sd,3658,0.3,0.84,0.8,0.5,520
Ideal,G,I1,mean,4044,1.17,6.74,6.7,4.1,16
Ideal,G,I1,min,1019,0.57,5.46,5.4,3.2,16
Ideal,G,I1,max,6299,1.54,7.43,7.4,4.6,16
Ideal,G,I1,sd,1431,0.25,0.5,0.5,0.3,16
Ideal,G,IF,mean,2206,0.45,4.83,4.8,3,491
Ideal,G,IF,min,536,0.23,3.92,3.9,2.4,491
Ideal,G,IF,max,18806,1.65,7.75,7.6,4.7,491
Ideal,G,IF,sd,3106,0.27,0.75,0.7,0.5,491
Ideal,G,SI1,mean,3441,0.76,5.7,5.7,3.5,660
Ideal,G,SI1,min,363,0.23,3.93,4,2.4,660
Ideal,G,SI1,max,18787,2.27,8.46,8.4,5.2,660
Ideal,G,SI1,sd,3443,0.4,0.98,1,0.6,660
Ideal,G,SI2,mean,4612,0.98,6.19,6.2,3.8,486
Ideal,G,SI2,min,361,0.27,4.14,4.2,2.6,486
Ideal,G,SI2,max,18804,2.54,8.75,8.7,5.5,486
Ideal,G,SI2,sd,4452,0.51,1.09,1.1,0.7,486
Ideal,G,VS1,mean,4117,0.72,5.57,5.6,3.4,953
Ideal,G,VS1,min,384,0.23,3.93,4,2.4,953
Ideal,G,VS1,max,18178,1.76,7.74,7.7,4.8,953
Ideal,G,VS1,sd,4119,0.39,1.01,1,0.6,953
Ideal,G,VS2,mean,4310,0.77,5.69,5.7,3.5,910
Ideal,G,VS2,min,397,0.25,0,0,0,910
Ideal,G,VS2,max,18700,2.09,8.24,8.2,5.1,910
Ideal,G,VS2,sd,4194,0.42,1.08,1.1,0.7,910
Ideal,G,VVS1,mean,2909,0.54,5.07,5.1,3.1,594
Ideal,G,VVS1,min,522,0.23,3.93,4,2.4,594
Ideal,G,VVS1,max,18445,1.7,7.67,7.7,4.7,594
Ideal,G,VVS1,sd,3756,0.33,0.9,0.9,0.5,594
Ideal,G,VVS2,mean,3796,0.65,5.39,5.4,3.3,774
Ideal,G,VVS2,min,498,0.24,3.99,4,2.5,774
Ideal,G,VVS2,max,18768,1.72,7.66,7.7,4.8,774
Ideal,G,VVS2,sd,4142,0.36,0.95,1,0.6,774
Ideal,H,I1,mean,5415,1.48,7.25,7.2,4.5,38
Ideal,H,I1,min,3080,1,6.4,6.4,3.9,38
Ideal,H,I1,max,12587,3.5,9.65,9.6,6,38
Ideal,H,I1,sd,2527,0.53,0.77,0.8,0.5,38
Ideal,H,IF,mean,1983,0.47,4.9,4.9,3,226
Ideal,H,IF,min,468,0.24,3.97,4,2.5,226
Ideal,H,IF,max,16300,1.66,7.62,7.7,4.7,226
Ideal,H,IF,sd,2584,0.27,0.75,0.8,0.5,226
Ideal,H,SI1,mean,4770,0.94,6.1,6.1,3.8,763
Ideal,H,SI1,min,357,0.25,4.05,4.1,2.5,763
Ideal,H,SI1,max,18760,2.51,8.65,8.6,5.4,763
Ideal,H,SI1,sd,4314,0.48,1.1,1.1,0.7,763
Ideal,H,SI2,mean,5589,1.14,6.59,6.6,4.1,450
Ideal,H,SI2,min,362,0.26,4.09,4.1,2.6,450
Ideal,H,SI2,max,18541,2.64,8.88,8.8,5.5,450
Ideal,H,SI2,sd,4342,0.49,0.97,1,0.6,450
Ideal,H,VS1,mean,3613,0.71,5.5,5.5,3.4,467
Ideal,H,VS1,min,423,0.23,3.94,4,1.4,467
Ideal,H,VS1,max,17983,2.01,8.15,8.1,5,467
Ideal,H,VS1,sd,4040,0.44,1.11,1.1,0.7,467
Ideal,H,VS2,mean,4039,0.8,5.73,5.7,3.5,556
Ideal,H,VS2,min,367,0.23,3.96,4,2.5,556
Ideal,H,VS2,max,18659,2.2,8.41,8.4,5.2,556
Ideal,H,VS2,sd,4058,0.47,1.15,1.1,0.7,556
Ideal,H,VVS1,mean,1916,0.49,4.97,5,3.1,326
Ideal,H,VVS1,min,449,0.23,3.98,4,2.4,326
Ideal,H,VVS1,max,14603,1.7,7.63,7.7,4.7,326
Ideal,H,VVS1,sd,2141,0.25,0.72,0.7,0.4,326
Ideal,H,VVS2,mean,2591,0.57,5.13,5.1,3.2,289
Ideal,H,VVS2,min,442,0.24,3.95,4,2.5,289
Ideal,H,VVS2,max,13629,1.65,7.68,7.7,4.8,289
Ideal,H,VVS2,sd,3189,0.36,0.98,1,0.6,289
Ideal,I,I1,mean,4103,1.3,6.93,6.9,4.3,17
Ideal,I,I1,min,2239,0.96,6.3,6.3,3.9,17
Ideal,I,I1,max,12545,3.22,9.49,9.4,5.9,17
Ideal,I,I1,sd,2493,0.54,0.77,0.7,0.5,17
Ideal,I,IF,mean,1503,0.45,4.83,4.9,3,95
Ideal,I,IF,min,587,0.27,4.2,4.2,2.5,95
Ideal,I,IF,max,12725,1.52,7.34,7.4,4.5,95
Ideal,I,IF,sd,2077,0.25,0.66,0.7,0.4,95
Ideal,I,SI1,mean,5179,1.03,6.26,6.3,3.9,504
Ideal,I,SI1,min,382,0.3,4.25,4.2,1.5,504
Ideal,I,SI1,max,18299,2.53,8.76,8.7,5.4,504
Ideal,I,SI1,sd,4702,0.54,1.17,1.2,0.7,504
Ideal,I,SI2,mean,7192,1.38,6.97,7,4.3,274
Ideal,I,SI2,min,348,0.3,4.3,4.3,2.6,274
Ideal,I,SI2,max,18756,2.61,8.87,8.8,5.5,274
Ideal,I,SI2,sd,5121,0.6,1.12,1.1,0.7,274
Ideal,I,VS1,mean,3944,0.81,5.75,5.8,3.6,408
Ideal,I,VS1,min,358,0.24,4,4,2.5,408
Ideal,I,VS1,max,18342,2.2,8.41,8.4,5.2,408
Ideal,I,VS1,sd,4089,0.47,1.16,1.1,0.7,408
Ideal,I,VS2,mean,4663,0.93,6.03,6,3.7,438
Ideal,I,VS2,min,371,0.25,4.02,4.1,2.5,438
Ideal,I,VS2,max,18779,2.5,8.7,8.7,5.4,438
Ideal,I,VS2,sd,4514,0.53,1.2,1.2,0.7,438
Ideal,I,VVS1,mean,2034,0.55,5.14,5.2,3.2,179
Ideal,I,VVS1,min,414,0.23,3.94,3.9,2.5,179
Ideal,I,VVS1,max,12186,1.62,7.54,7.6,4.7,179
Ideal,I,VVS1,sd,2459,0.3,0.82,0.8,0.5,179
Ideal,I,VVS2,mean,2859,0.65,5.38,5.4,3.3,178
Ideal,I,VVS2,min,412,0.24,4.02,4,2.5,178
Ideal,I,VVS2,max,14394,1.85,7.91,7.9,4.9,178
Ideal,I,VVS2,sd,3458,0.4,1,1,0.6,178
Ideal,J,I1,mean,9454,1.99,7.66,7.6,4.9,2
Ideal,J,I1,min,2370,0.97,6.34,6.3,3.9,2
Ideal,J,I1,max,16538,3.01,8.99,8.9,5.9,2
Ideal,J,I1,sd,10018,1.44,1.87,1.9,1.4,2
Ideal,J,IF,mean,2489,0.58,5.11,5.1,3.2,25
Ideal,J,IF,min,489,0.3,4.29,4.3,2.7,25
Ideal,J,IF,max,17986,2.08,8.32,8.2,5,25
Ideal,J,IF,sd,4705,0.49,1.1,1.1,0.7,25
Ideal,J,SI1,mean,5116,1.14,6.54,6.6,4.1,243
Ideal,J,SI1,min,367,0.3,4.27,4.3,2.7,243
Ideal,J,SI1,max,18508,2.56,8.73,8.8,5.4,243
Ideal,J,SI1,sd,3930,0.52,1.05,1,0.7,243
Ideal,J,SI2,mean,6555,1.38,6.98,7,4.3,110
Ideal,J,SI2,min,344,0.31,4.35,4.4,2.7,110
Ideal,J,SI2,max,18369,3.01,9.25,9.2,5.7,110
Ideal,J,SI2,sd,4806,0.62,1.07,1.1,0.7,110
Ideal,J,VS1,mean,4734,0.98,6.11,6.1,3.8,201
Ideal,J,VS1,min,340,0.23,3.93,3.9,2.5,201
Ideal,J,VS1,max,18462,2.59,8.83,8.8,5.4,201
Ideal,J,VS1,sd,4770,0.58,1.28,1.3,0.8,201
Ideal,J,VS2,mean,4867,1.05,6.32,6.3,3.9,232
Ideal,J,VS2,min,384,0.3,4.29,4.3,2.7,232
Ideal,J,VS2,max,18113,2.45,8.72,8.8,5.3,232
Ideal,J,VS2,sd,4372,0.55,1.17,1.2,0.7,232
Ideal,J,VVS1,mean,2000,0.58,5.18,5.2,3.2,29
Ideal,J,VVS1,min,461,0.3,4.31,4.3,2.6,29
Ideal,J,VVS1,max,10357,1.58,7.48,7.5,4.6,29
Ideal,J,VVS1,sd,2704,0.36,0.91,0.9,0.6,29
Ideal,J,VVS2,mean,4122,0.87,5.87,5.9,3.6,54
Ideal,J,VVS2,min,413,0.24,3.96,3.9,2.5,54
Ideal,J,VVS2,max,17214,2.07,8.18,8.2,5.1,54
Ideal,J,VVS2,sd,4544,0.54,1.25,1.2,0.8,54
Premium,D,I1,mean,3819,1.16,6.7,6.7,4.1,12
Premium,D,I1,min,2698,0.92,6.18,6.1,3.9,12
Premium,D,I1,max,6300,1.5,7.37,7.2,4.5,12
Premium,D,I1,sd,879,0.18,0.33,0.3,0.2,12
Premium,D,IF,mean,9056,0.71,5.58,5.6,3.4,10
Premium,D,IF,min,1130,0.3,4.27,4.3,2.6,10
Premium,D,IF,max,18279,1.07,6.67,6.6,4,10
Premium,D,IF,sd,7617,0.36,1.1,1.1,0.7,10
Premium,D,SI1,mean,3236,0.69,5.54,5.5,3.4,556
Premium,D,SI1,min,515,0.3,4.23,4.2,2.6,556
Premium,D,SI1,max,17776,2.05,8.26,8.2,5,556
Premium,D,SI1,sd,3260,0.36,0.95,0.9,0.6,556
Premium,D,SI2,mean,4351,0.92,6.09,6.1,3.7,421
Premium,D,SI2,min,447,0.3,4.28,4.2,2.6,421
Premium,D,SI2,max,18575,2.57,8.99,8.9,5.3,421
Premium,D,SI2,sd,3859,0.46,1.09,1.1,0.7,421
Premium,D,VS1,mean,4178,0.69,5.57,5.5,3.4,131
Premium,D,VS1,min,546,0.26,4.18,4.2,2.5,131
Premium,D,VS1,max,17936,1.55,7.62,7.6,4.6,131
Premium,D,VS1,sd,3984,0.32,0.85,0.8,0.5,131
Premium,D,VS2,mean,2919,0.58,5.24,5.2,3.2,339
Premium,D,VS2,min,367,0.2,3.73,3.7,2.3,339
Premium,D,VS2,max,16921,1.55,7.61,7.6,4.6,339
Premium,D,VS2,sd,3393,0.32,0.89,0.9,0.5,339
Premium,D,VVS1,mean,3771,0.54,4.95,4.9,3,40
Premium,D,VVS1,min,710,0.24,0,0,0,40
Premium,D,VVS1,max,17496,1.31,7.01,7,4.4,40
Premium,D,VVS1,sd,4794,0.29,1.13,1.1,0.7,40
Premium,D,VVS2,mean,3888,0.58,5.25,5.2,3.2,94
Premium,D,VVS2,min,640,0.23,4,4,2.4,94
Premium,D,VVS2,max,17216,1.41,7.28,7.2,4.4,94
Premium,D,VVS2,sd,4297,0.3,0.86,0.9,0.5,94
Premium,E,I1,mean,3199,1.04,6.39,6.3,3.9,30
Premium,E,I1,min,345,0.32,4.38,4.4,2.7,30
Premium,E,I1,max,10453,3.05,9.26,9.2,5.7,30
Premium,E,I1,sd,2033,0.51,1,1,0.6,30
Premium,E,IF,mean,4525,0.58,5.2,5.2,3.2,27
Premium,E,IF,min,967,0.3,4.26,4.3,2.6,27
Premium,E,IF,max,17663,1.34,7.15,7.1,4.4,27
Premium,E,IF,sd,5330,0.35,1.02,1,0.6,27
Premium,E,SI1,mean,3363,0.73,5.64,5.6,3.4,614
Premium,E,SI1,min,326,0.21,3.89,3.8,2.3,614
Premium,E,SI1,max,16957,2.07,8.24,8.2,5,614
Premium,E,SI1,sd,3392,0.37,0.95,0.9,0.6,614
Premium,E,SI2,mean,4490,0.96,6.19,6.2,3.8,519
Premium,E,SI2,min,345,0.2,3.79,3.8,2.3,519
Premium,E,SI2,max,18477,2.71,9.13,9,5.5,519
Premium,E,SI2,sd,4114,0.47,1.05,1,0.6,519
Premium,E,VS1,mean,3722,0.64,5.4,5.4,3.3,292
Premium,E,VS1,min,400,0.23,3.91,3.9,2.4,292
Premium,E,VS1,max,17552,1.59,7.58,7.6,4.6,292
Premium,E,VS1,sd,4310,0.36,0.95,0.9,0.6,292
Premium,E,VS2,mean,3070,0.62,5.34,5.3,3.3,629
Premium,E,VS2,min,367,0.2,3.79,3.8,2.2,629
Premium,E,VS2,max,18342,1.77,7.92,7.8,4.8,629
Premium,E,VS2,sd,3503,0.33,0.9,0.9,0.6,629
Premium,E,VVS1,mean,2700,0.46,4.84,4.8,3,105
Premium,E,VVS1,min,553,0.23,3.99,3.9,2.4,105
Premium,E,VVS1,max,14952,1.26,6.99,7.1,4.2,105
Premium,E,VVS1,sd,3726,0.28,0.85,0.8,0.5,105
Premium,E,VVS2,mean,2941,0.51,5,5,3,121
Premium,E,VVS2,min,576,0.23,3.94,3.9,2.4,121
Premium,E,VVS2,max,17667,1.5,7.49,7.4,4.4,121
Premium,E,VVS2,sd,3680,0.31,0.9,0.9,0.5,121
Premium,F,I1,mean,3555,1.14,6.58,6.5,4,34
Premium,F,I1,min,394,0.31,4.33,4.3,2.7,34
Premium,F,I1,max,9967,3.01,9.24,9.1,5.7,34
Premium,F,I1,sd,2609,0.55,1.05,1.1,0.6,34
Premium,F,IF,mean,3618,0.53,5.03,5,3.1,31
Premium,F,IF,min,576,0.25,4.08,4.1,2.5,31
Premium,F,IF,max,18102,1.51,7.5,7.4,4.4,31
Premium,F,IF,sd,4801,0.35,1.02,1,0.6,31
Premium,F,SI1,mean,4040,0.84,5.94,5.9,3.6,608
Premium,F,SI1,min,342,0.22,3.88,3.8,2.3,608
Premium,F,SI1,max,18735,2.21,8.38,8.3,5.2,608
Premium,F,SI1,sd,3483,0.38,0.91,0.9,0.6,608
Premium,F,SI2,mean,4747,1.04,6.4,6.4,3.9,523
Premium,F,SI2,min,394,0.3,4.24,4.2,0,523
Premium,F,SI2,max,18784,2.52,8.78,8.7,5.3,523
Premium,F,SI2,sd,3822,0.43,0.9,0.9,0.6,523
Premium,F,VS1,mean,4758,0.77,5.74,5.7,3.5,290
Premium,F,VS1,min,452,0.25,4.05,4,2.5,290
Premium,F,VS1,max,18598,1.7,7.83,7.8,4.7,290
Premium,F,VS1,sd,4435,0.38,0.97,1,0.6,290
Premium,F,VS2,mean,4221,0.73,5.6,5.6,3.4,619
Premium,F,VS2,min,367,0.2,3.73,3.7,2.3,619
Premium,F,VS2,max,18791,1.75,7.87,7.8,4.8,619
Premium,F,VS2,sd,4440,0.41,1.06,1,0.7,619
Premium,F,VVS1,mean,3969,0.61,5.3,5.3,3.2,80
Premium,F,VVS1,min,740,0.25,4.1,4.1,2.5,80
Premium,F,VVS1,max,14196,1.3,7.11,7.1,4.3,80
Premium,F,VVS1,sd,4166,0.33,0.92,0.9,0.6,80
Premium,F,VVS2,mean,4099,0.66,5.47,5.4,3.3,146
Premium,F,VVS2,min,445,0.23,3.94,3.9,2.4,146
Premium,F,VVS2,max,17203,1.5,7.51,7.4,4.4,146
Premium,F,VVS2,sd,3811,0.32,0.9,0.9,0.5,146
Premium,G,I1,mean,4052,1.29,6.89,6.8,4.1,46
Premium,G,I1,min,933,0.5,5.07,5,0,46
Premium,G,I1,max,13203,3,9.42,9.3,5.6,46
Premium,G,I1,sd,2883,0.59,1.01,1,0.9,46
Premium,G,IF,mean,3311,0.56,5.16,5.2,3.1,87
Premium,G,IF,min,853,0.3,4.25,4.2,2.6,87
Premium,G,IF,max,11104,1.24,7.02,7,4.2,87
Premium,G,IF,sd,3476,0.33,0.94,0.9,0.6,87
Premium,G,SI1,mean,4303,0.88,5.99,6,3.7,566
Premium,G,SI1,min,431,0.3,4.27,4.2,2.6,566
Premium,G,SI1,max,18741,2.2,8.49,8.4,5.1,566
Premium,G,SI1,sd,3988,0.45,1.06,1,0.6,566
Premium,G,SI2,mean,5617,1.14,6.58,6.5,4,492
Premium,G,SI2,min,394,0.25,4.25,4.2,0,492
Premium,G,SI2,max,18705,3.01,9.44,9.4,5.6,492
Premium,G,SI2,sd,4674,0.52,1.05,1,0.7,492
Premium,G,VS1,mean,4436,0.75,5.64,5.6,3.5,566
Premium,G,VS1,min,382,0.26,4.07,4.1,2.5,566
Premium,G,VS1,max,18419,1.79,7.9,7.9,4.8,566
Premium,G,VS1,sd,4551,0.44,1.11,1.1,0.7,566
Premium,G,VS2,mean,4556,0.81,5.81,5.8,3.5,721
Premium,G,VS2,min,397,0.27,4.11,4.1,2.6,721
Premium,G,VS2,max,18680,2.08,8.27,8.2,5,721
Premium,G,VS2,sd,4288,0.43,1.1,1.1,0.7,721
Premium,G,VVS1,mean,2934,0.54,5.06,5,3.1,171
Premium,G,VVS1,min,531,0.23,3.95,3.9,2.4,171
Premium,G,VVS1,max,17360,1.6,7.58,7.6,4.6,171
Premium,G,VVS1,sd,3926,0.35,0.95,0.9,0.6,171
Premium,G,VVS2,mean,4324,0.69,5.5,5.5,3.4,275
Premium,G,VVS2,min,504,0.23,4.09,4,2.4,275
Premium,G,VVS2,max,18730,1.73,7.76,7.8,4.8,275
Premium,G,VVS2,sd,4517,0.41,1.09,1.1,0.7,275
Premium,H,I1,mean,3904,1.34,6.94,6.9,4.2,46
Premium,H,I1,min,452,0.43,4.78,4.8,0,46
Premium,H,I1,max,12300,3.24,9.44,9.4,5.8,46
Premium,H,I1,sd,2511,0.61,1.03,1,0.9,46
Premium,H,IF,mean,3385,0.6,5.19,5.2,3.2,40
Premium,H,IF,min,739,0.3,4.29,4.3,2.6,40
Premium,H,IF,max,13194,1.54,7.44,7.4,4.6,40
Premium,H,IF,sd,4136,0.43,1.13,1.1,0.7,40
Premium,H,SI1,mean,5708,1.08,6.45,6.4,3.9,655
Premium,H,SI1,min,421,0.3,4.24,4.2,0,655
Premium,H,SI1,max,18795,2.53,8.83,8.8,5.4,655
Premium,H,SI1,sd,4549,0.5,1.08,1.1,0.7,655
Premium,H,SI2,mean,6719,1.33,6.93,7,4.2,521
Premium,H,SI2,min,368,0.3,0,0,0,521
Premium,H,SI2,max,18745,2.75,8.99,58.9,8.1,521
Premium,H,SI2,sd,4702,0.54,1.03,2.5,0.7,521
Premium,H,VS1,mean,3949,0.78,5.69,5.7,3.5,336
Premium,H,VS1,min,382,0.23,4.05,4,2.4,336
Premium,H,VS1,max,18522,2.38,8.62,8.6,5.2,336
Premium,H,VS1,sd,3955,0.47,1.19,1.2,0.7,336
Premium,H,VS2,mean,5554,1,6.26,6.2,3.8,532
Premium,H,VS2,min,471,0.3,4.23,4.2,0,532
Premium,H,VS2,max,18443,2.29,8.45,8.4,5.2,532
Premium,H,VS2,sd,4230,0.47,1.11,1.1,0.7,532
Premium,H,VVS1,mean,1454,0.42,4.71,4.7,2.9,112
Premium,H,VVS1,min,432,0.24,3.96,4,2.4,112
Premium,H,VVS1,max,12336,1.51,7.42,7.4,4.5,112
Premium,H,VVS1,sd,1824,0.23,0.69,0.7,0.4,112
Premium,H,VVS2,mean,2651,0.58,5.14,5.1,3.2,118
Premium,H,VVS2,min,486,0.23,4.04,4,2.4,118
Premium,H,VVS2,max,14866,1.71,7.77,7.8,4.7,118
Premium,H,VVS2,sd,3526,0.41,1.07,1.1,0.6,118
Premium,I,I1,mean,5045,1.61,7.34,7.3,4.5,24
Premium,I,I1,min,1107,0.7,5.69,5.6,3.5,24
Premium,I,I1,max,16193,4.01,10.14,10.1,6.2,24
Premium,I,I1,sd,3990,0.87,1.16,1.2,0.7,24
Premium,I,IF,mean,2359,0.57,5.17,5.2,3.2,23
Premium,I,IF,min,631,0.3,4.32,4.3,2.6,23
Premium,I,IF,max,10332,1.5,7.31,7.2,4.6,23
Premium,I,IF,sd,2677,0.36,0.94,0.9,0.6,23
Premium,I,SI1,mean,6092,1.18,6.61,6.6,4,367
Premium,I,SI1,min,394,0.3,4.29,4.3,0,367
Premium,I,SI1,max,18797,2.52,8.9,8.9,5.3,367
Premium,I,SI1,sd,4821,0.56,1.2,1.2,0.8,367
Premium,I,SI2,mean,7148,1.42,7.11,7.1,4.3,312
Premium,I,SI2,min,500,0.32,4.48,4.4,2.7,312
Premium,I,SI2,max,18559,3.04,9.51,9.5,5.6,312
Premium,I,SI2,sd,4811,0.56,1.02,1,0.6,312
Premium,I,VS1,mean,5339,0.98,6.12,6.1,3.7,221
Premium,I,VS1,min,355,0.24,3.97,3.9,2.5,221
Premium,I,VS1,max,18795,2.55,8.8,8.8,5.4,221
Premium,I,VS1,sd,5028,0.59,1.37,1.4,0.8,221
Premium,I,VS2,mean,7156,1.24,6.7,6.7,4.1,315
Premium,I,VS2,min,334,0.29,4.2,4.2,2.6,315
Premium,I,VS2,max,18823,2.48,8.83,8.8,5.3,315
Premium,I,VS2,sd,5509,0.58,1.24,1.2,0.7,315
Premium,I,VVS1,mean,1831,0.52,5.03,5,3.1,84
Premium,I,VVS1,min,414,0.23,3.98,4,2.4,84
Premium,I,VVS1,max,15654,2.08,8.22,8.2,5.1,84
Premium,I,VVS1,sd,2497,0.3,0.78,0.8,0.5,84
Premium,I,VVS2,mean,3191,0.68,5.4,5.4,3.3,82
Premium,I,VVS2,min,526,0.3,4.28,4.3,2.6,82
Premium,I,VVS2,max,13127,1.72,7.62,7.7,4.8,82
Premium,I,VVS2,sd,3922,0.48,1.2,1.2,0.7,82
Premium,J,I1,mean,4577,1.58,7.28,7.2,4.4,13
Premium,J,I1,min,945,0.72,5.8,5.6,3.6,13
Premium,J,I1,max,15223,4.01,10.02,9.9,6.2,13
Premium,J,I1,sd,4051,0.92,1.21,1.2,0.8,13
Premium,J,IF,mean,7026,1.14,6.37,6.4,3.9,12
